# t	policy	fitness           	C                    	ir         	bankrupts	bestLenderID	bestLenderClients	creditChannels
# interbank.py C_i0=30 D_i0=135 E_i0=15 L_i0=120 N=50 T=1000 r_i0=0.02 Φ=0.025 Χ=0.015 α=0.1 β=5 μ=0.7 ξ=0.3 ρ=0.3 ω=0.55
201	0.0	 0.7047707763881037	   2825.72854363775	  0.0541841595892475	  6	                0.12	                0.08	  3
202	0.0	 0.6851005944280473	  2701.278085754407	 0.05908512223280015	  9	                0.98	                0.12	  3
203	0.0	  0.616815640390643	  2644.303525281741	 0.10613655609805508	 11	                0.88	                0.06	  2
204	0.0	  0.617410128605882	  3208.755210009251	 0.06431293462545337	 12	                0.88	                0.08	  4
205	0.0	 0.7477494209298962	 3241.1051013820465	0.043679557108527355	  7	                0.88	                0.08	  3
206	0.0	 0.6805834857034861	 3240.0005455448627	0.030932072573191586	  7	                0.22	                0.08	  4
207	0.0	 0.6969492742213811	  2971.719790443736	0.023675749604459114	  9	                0.18	                0.08	  3
208	0.0	 0.5586289998563209	  2573.483047107619	 0.07194081044877804	 10	                 0.5	                0.08	  3
209	0.0	 0.5270202163247649	  2997.230224773878	 0.07274067374941642	 14	                0.86	                0.12	  2
210	0.0	 0.6190766525700677	 2871.2702046850786	 0.15796653835369118	  9	                0.86	                0.12	  4
211	0.0	  0.534577084498836	 2829.7909571174496	 0.03232936799313627	 15	                0.12	                0.08	  2
212	0.0	   0.58742120730142	  3267.968005554472	  0.0931205242578419	 12	                0.98	                 0.1	  2
213	0.0	 0.6545774166096706	 3653.0713546048682	 0.04638430093069759	  6	                 0.0	                 0.1	  5
214	0.0	  0.627457298428612	  3350.566842763513	 0.03986815890962231	 10	                0.86	                0.14	  2
215	0.0	0.46206895930179853	 3004.2732937005294	 0.11483221338084308	 11	                 0.0	                0.06	  3
216	0.0	 0.5397419842062969	 2860.7103201993555	 0.07089379619307873	 16	                0.76	                0.08	  1
217	0.0	0.49843519742964565	 3111.6505219613946	 0.05500118734576633	 15	                 0.0	                0.08	  3
218	0.0	 0.6093676312615188	  3129.153641311488	 0.04472667797676604	  6	                0.98	                 0.1	  2
219	0.0	 0.5211823071022587	  3139.465238087061	0.041757237301362035	 13	                0.96	                 0.1	  6
220	0.0	 0.5874635255029093	  2976.768418359377	 0.06522230858688242	  7	                 0.5	                0.08	  4
221	0.0	 0.6004873918600643	  3471.115110874477	  0.1018523416897307	 11	                 0.5	                 0.1	  2
222	0.0	  0.352434863687157	 3169.1079302101907	0.034504405680733964	 13	                 0.5	                0.08	  3
223	0.0	 0.4613145044011104	 3417.5764969140446	 0.03847088599836494	  8	                 0.5	                0.12	  1
224	0.0	0.32376038516703276	 3913.8968379907064	 0.03559636977989325	  9	                 0.5	                 0.1	  4
225	0.0	 0.5859295938821889	 3757.5034698720365	 0.05959244748100885	  9	                0.24	                0.08	  0
226	0.0	0.37573100733780235	  3577.050905748732	 0.03358362583563291	 13	                0.04	                 0.1	  9
227	0.0	 0.7370083433540081	 3523.1086677781977	 0.10001058640712734	  7	                0.04	                 0.1	  3
228	0.0	 0.7569170350452871	 3250.9323337506376	 0.13148937175942954	  5	                0.04	                 0.1	  2
229	0.0	0.46546269755342257	  3484.137407718343	 0.22663937637774978	 12	                0.04	                0.14	  6
